R_fighter,B_fighter,R_odds,B_odds,date,City,State/Province,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,height_dif,reach_dif,age_dif,Finish2,finish,finish_details,finish_round,finish_round_time
Fabricio Werdum,Alexander Gustafsson,260,-335,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,Orthodox,195.58,200.66,205,Orthodox,193.04,195.58,231,42,33,2.54,5.08,-9,SUB,SUB,Armbar,1,2:30
Francisco Trinaldo,Jai Herbert,-134,108,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Lightweight,MALE,3,Orthodox,185.42,185.42,155,Southpaw,175.26,177.8,155,41,32,10.16,7.62,-9,KO/TKO,KO/TKO,Punches,3,1:30
Khamzat Chimaev,Rhys McKee,-1250,700,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Welterweight,MALE,3,Orthodox,185.42,185.42,170,Orthodox,187.96,190.5,185,26,30,-2.54,-5.08,4,KO/TKO,KO/TKO,Punches,1,3:09
Mauricio Rua,Rogerio Nogueira,-190,150,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,Southpaw,187.96,190.5,205,Orthodox,185.42,193.04,205,38,44,2.54,-2.54,6,S-DEC,S-DEC,N/A,3,5:00
Movsar Evloev,Mike Grundy,-200,161,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Featherweight,MALE,3,Orthodox,170.18,182.88,145,Orthodox,170.18,182.88,145,26,33,0,0,7,U-DEC,U-DEC,N/A,3,5:00
Nathaniel Wood,John Castaneda,-455,320,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Bantamweight,MALE,3,Switch,170.18,177.8,135,Orthodox,167.64,175.26,135,27,28,2.54,2.54,1,U-DEC,U-DEC,N/A,3,5:00
Nicolas Dalby,Jesse Ronson,-265,205,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,Southpaw,177.8,182.88,155,Orthodox,180.34,187.96,170,35,34,-2.54,-5.08,-1,SUB,SUB,Rear naked choke,1,2:48
Paul Craig,Gadzhimurad Antigulov,-137,110,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,Orthodox,180.34,177.8,205,Orthodox,190.5,193.04,205,32,33,-10.16,-15.24,1,SUB,SUB,Triangle choke,1,2:06
Ramazan Emeev,Niklas Stolze,-400,300,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Welterweight,MALE,3,Switch,182.88,182.88,170,Southpaw,177.8,193.04,170,33,27,5.08,-10.16,-6,U-DEC,U-DEC,N/A,3,5:00
Robert Whittaker,Darren Till,-130,107,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Middleweight,MALE,5,Southpaw,182.88,187.96,185,Orthodox,182.88,185.42,185,29,27,0,2.54,-2,U-DEC,U-DEC,N/A,5,5:00
Tanner Boser,Raphael Pessoa,-278,220,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,Orthodox,190.5,198.12,262,Orthodox,187.96,190.5,255,28,31,2.54,7.62,3,KO/TKO,KO/TKO,Punches,2,2:36
Tom Aspinall,Jake Collier,-278,220,7/25/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,Orthodox,190.5,198.12,205,Orthodox,195.58,195.58,256,27,31,-5.08,2.54,4,KO/TKO,KO/TKO,Punches,1,0:45
Alexandre Pantoja,Askar Askarov,-210,165,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Flyweight,MALE,3,Orthodox,167.64,170.18,125,Orthodox,165.1,170.18,125,30,27,2.54,0,-3,U-DEC,U-DEC,N/A,3,5:00
Ariane Lipski,Luana Carolina,-125,100,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,167.64,175.26,125,Orthodox,167.64,170.18,125,26,27,0,5.08,1,SUB,SUB,Kneebar,1,1:28
Brett Johns,Montel Jackson,170,-215,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Bantamweight,MALE,3,Southpaw,177.8,190.5,135,Orthodox,170.18,180.34,135,28,28,7.62,10.16,0,U-DEC,U-DEC,N/A,3,5:00
Carlos Felipe,Serghei Spivac,140,-177,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Heavyweight,MALE,3,Orthodox,190.5,198.12,260,Orthodox,182.88,190.5,245,25,25,7.62,7.62,0,M-DEC,M-DEC,N/A,3,5:00
Davi Ramos,Arman Tsarukyan,160,-200,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,Orthodox,170.18,182.88,155,Orthodox,167.64,177.8,155,33,23,2.54,5.08,-10,U-DEC,U-DEC,N/A,3,5:00
Deiveson Figueiredo,Joseph Benavidez,-225,180,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,TRUE,Flyweight,MALE,5,Southpaw,162.56,165.1,125,Orthodox,165.1,172.72,125,32,35,-2.54,-7.62,3,SUB,SUB,Rear naked choke,1,4:48
Grant Dawson,Nad Narimani,-250,195,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Catch Weight,MALE,3,Orthodox,172.72,177.8,145,Switch,177.8,182.88,145,26,33,-5.08,-5.08,7,U-DEC,U-DEC,N/A,3,5:00
Jack Hermansson,Kelvin Gastelum,-112,-112,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Middleweight,MALE,3,Southpaw,175.26,180.34,185,Orthodox,185.42,195.58,185,32,28,-10.16,-15.24,-4,SUB,SUB,Heel Hook,1,1:18
Joe Duffy,Joel Alvarez,-335,250,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,Orthodox,190.5,195.58,155,Orthodox,177.8,185.42,155,32,26,12.7,10.16,-6,SUB,SUB,Guillotine Choke,1,2:25
Malcolm Gordon,Amir Albazi,135,-167,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Flyweight,MALE,3,Orthodox,165.1,172.72,125,Switch,170.18,180.34,125,30,26,-5.08,-7.62,-4,SUB,SUB,Triangle choke,1,4:42
Marc Diakiese,Rafael Fiziev,-167,135,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Lightweight,MALE,3,Switch,172.72,180.34,155,Orthodox,177.8,185.42,155,27,27,-5.08,-5.08,0,U-DEC,U-DEC,N/A,3,5:00
Roman Dolidze,Khadis Ibragimov,-167,135,7/18/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,Orthodox,190.5,198.12,205,Orthodox,187.96,193.04,205,32,25,2.54,5.08,-7,KO/TKO,KO/TKO,Kick,1,4:15
Abdul Razak Alhassan,Mounir Lazzez,-345,260,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,Orthodox,185.42,185.42,170,Orthodox,177.8,185.42,170,34,32,7.62,0,-2,U-DEC,U-DEC,N/A,3,5:00
Calvin Kattar,Dan Ige,-286,220,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Featherweight,MALE,5,Orthodox,170.18,180.34,145,Orthodox,180.34,182.88,145,32,28,-10.16,-2.54,-4,U-DEC,U-DEC,N/A,5,5:00
Diana Belbita,Liana Jojua,-195,155,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,Orthodox,162.56,157.48,125,Orthodox,170.18,172.72,125,24,25,-7.62,-15.24,1,SUB,SUB,Armbar,1,2:43
Jack Shore,Aaron Phillips,-715,475,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Bantamweight,MALE,3,Southpaw,175.26,177.8,135,Orthodox,172.72,180.34,135,25,30,2.54,-2.54,5,SUB,SUB,Rear naked choke,2,2:29
Jared Gordon,Chris Fishgold,-143,115,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Featherweight,MALE,3,Orthodox,172.72,172.72,145,Orthodox,175.26,172.72,145,31,28,-2.54,0,-3,U-DEC,U-DEC,N/A,3,5:00
Jimmie Rivera,Cody Stamann,-141,112,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Featherweight,MALE,3,Orthodox,167.64,162.56,145,Orthodox,162.56,172.72,145,31,30,5.08,-10.16,-1,U-DEC,U-DEC,N/A,3,5:00
John Phillips,Khamzat Chimaev,271,-375,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Middleweight,MALE,3,Orthodox,187.96,187.96,185,Southpaw,180.34,190.5,185,35,26,7.62,-2.54,-9,SUB,SUB,D'Arce choke,2,1:12
Modestas Bukauskas,Andreas Michailidis,-177,140,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,Orthodox,182.88,182.88,185,Switch,190.5,190.5,205,26,31,-7.62,-7.62,5,KO/TKO,KO/TKO,Elbows,1,5:00
Molly McCann,Taila Santos,-152,120,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Women's Flyweight,FEMALE,3,Orthodox,165.1,172.72,125,Orthodox,162.56,157.48,125,30,27,2.54,15.24,-3,U-DEC,U-DEC,N/A,3,5:00
Ricardo Ramos,Lerone Murphy,-162,130,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Featherweight,MALE,3,Orthodox,175.26,185.42,145,Orthodox,175.26,182.88,145,24,28,0,2.54,4,KO/TKO,KO/TKO,Punches,1,4:18
Tim Elliott,Ryan Benoit,-141,112,7/15/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Flyweight,MALE,3,Orthodox,165.1,172.72,125,Southpaw,170.18,167.64,125,33,30,-5.08,5.08,-3,U-DEC,U-DEC,N/A,3,5:00
Alexander Volkanovski,Max Holloway,-210,170,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,TRUE,Featherweight,MALE,3,Orthodox,180.34,175.26,145,Orthodox,167.64,180.34,145,31,28,12.7,-5.08,-3,S-DEC,S-DEC,N/A,5,5:00
Amanda Ribas,Paige VanZant,-770,500,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,162.56,165.1,115,Orthodox,160.02,167.64,115,26,26,2.54,-2.54,0,SUB,SUB,Armbar,1,2:21
Elizeu Zaleski dos Santos,Muslim Salikhov,108,-134,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,Orthodox,180.34,177.8,170,Orthodox,180.34,185.42,170,33,36,0,-7.62,3,S-DEC,S-DEC,N/A,3,5:00
Jessica Andrade,Rose Namajunas,175,-215,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Women's Strawweight,FEMALE,3,Orthodox,165.1,165.1,115,Orthodox,154.94,157.48,115,28,28,10.16,7.62,0,S-DEC,S-DEC,N/A,3,5:00
Kamaru Usman,Jorge Masvidal,-240,190,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,TRUE,Welterweight,MALE,5,Orthodox,180.34,187.96,170,Switch,182.88,193.04,170,33,36,-2.54,-5.08,-3,U-DEC,U-DEC,N/A,5,5:00
Karol Rosa,Vanessa Melo,-250,195,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Women's Bantamweight,FEMALE,3,Orthodox,165.1,165.1,135,Orthodox,165.1,170.18,135,25,32,0,-5.08,7,U-DEC,U-DEC,N/A,3,5:00
Leonardo Santos,Roman Bogatov,-177,145,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Lightweight,MALE,3,Orthodox,172.72,172.72,155,Orthodox,182.88,190.5,155,40,29,-10.16,-17.78,-11,U-DEC,U-DEC,N/A,3,5:00
Makwan Amirkhani,Danny Henry,-215,170,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Featherweight,MALE,3,Orthodox,182.88,185.42,145,Southpaw,177.8,182.88,145,31,31,5.08,2.54,0,SUB,SUB,Anaconda choke,1,3:15
Marcin Tybura,Maxim Grishin,-112,-112,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,Orthodox,190.5,198.12,265,Orthodox,190.5,198.12,249,34,36,0,0,-2,U-DEC,U-DEC,N/A,3,5:00
Martin Day,Davey Grant,-162,130,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Bantamweight,MALE,3,Orthodox,172.72,175.26,135,Orthodox,177.8,185.42,135,31,34,-5.08,-10.16,3,KO/TKO,KO/TKO,Punches,3,2:38
Petr Yan,Jose Aldo,-215,175,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,TRUE,Bantamweight,MALE,3,Orthodox,170.18,177.8,135,Switch,170.18,170.18,135,27,33,0,7.62,6,KO/TKO,KO/TKO,Punches,5,3:24
Raulian Paiva,Zhalgas Zhamagulov,-180,142,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Red,FALSE,Flyweight,MALE,3,Switch,162.56,162.56,125,Orthodox,172.72,175.26,125,24,31,-10.16,-12.7,7,U-DEC,U-DEC,N/A,3,5:00
Volkan Oezdemir,Jiri Prochazka,-159,129,7/11/2020,Abu Dhabi,Abu Dhabi,United Arab Emirates,Blue,FALSE,Light Heavyweight,MALE,3,Orthodox,193.04,193.04,205,Orthodox,187.96,190.5,205,30,27,5.08,2.54,-3,KO/TKO,KO/TKO,Punches,2,0:49
Brendan Allen,Kyle Daukaus,-305,235,6/27/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Southpaw,190.5,193.04,185,Orthodox,187.96,190.5,185,24,27,2.54,2.54,3,U-DEC,U-DEC,N/A,3,5:00
Dustin Poirier,Dan Hooker,-225,180,6/27/2020,Las Vegas,Nevada,USA,Red,FALSE,Lightweight,MALE,5,Switch,182.88,190.5,155,Southpaw,175.26,182.88,155,31,30,7.62,7.62,-1,U-DEC,U-DEC,N/A,5,5:00
Gian Villante,Maurice Greene,180,-230,6/27/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,200.66,203.2,258,Orthodox,190.5,193.04,205,34,33,10.16,10.16,-1,SUB,SUB,Arm triangle ,3,3:44
Jordan Griffin,Youssef Zalal,-106,-114,6/27/2020,Las Vegas,Nevada,USA,Blue,FALSE,Featherweight,MALE,3,Switch,177.8,182.88,145,Southpaw,177.8,185.42,145,30,23,0,-2.54,-7,U-DEC,U-DEC,N/A,3,5:00
Kay Hansen,Jinh Yu Frey,-175,138,6/27/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Strawweight,FEMALE,3,Orthodox,157.48,157.48,115,Orthodox,160.02,160.02,115,20,35,-2.54,-160.02,15,SUB,SUB,Armbar,3,2:26
Luis Pena,Khama Worthy,-250,195,6/27/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,180.34,187.96,155,Southpaw,190.5,190.5,155,26,33,-10.16,-2.54,7,SUB,SUB,Guillotine Choke,3,2:53
Mike Perry,Mickey Gall,-315,235,6/27/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Switch,187.96,187.96,170,Orthodox,177.8,180.34,170,28,28,10.16,7.62,0,U-DEC,U-DEC,N/A,3,5:00
Philipe Lins,Tanner Boser,-112,-112,6/27/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,187.96,190.5,255,Orthodox,187.96,198.12,240,34,28,0,-7.62,-6,KO/TKO,KO/TKO,Punches,1,2:41
Sean Woodson,Julian Erosa,-455,325,6/27/2020,Las Vegas,Nevada,USA,Blue,FALSE,Catch Weight,MALE,3,Southpaw,185.42,187.96,145,Orthodox,187.96,198.12,145,28,30,-2.54,-10.16,-2,SUB,SUB,D'Arce choke,3,2:44
Takashi Sato,Jason Witt,-278,215,6/27/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,177.8,177.8,170,Southpaw,177.8,185.42,170,30,33,0,-7.62,-3,KO/TKO,KO/TKO,Punches,1,0:48
Austin Hubbard,Max Rohskopf,160,-185,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Lightweight,MALE,3,Orthodox,185.42,187.96,155,Orthodox,177.8,180.34,155,28,25,7.62,7.62,-3,KO/TKO,KO/TKO,Doctor stoppage,2,5:00
Belal Muhammad,Lyman Good,-130,110,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,182.88,187.96,170,Orthodox,180.34,182.88,170,31,35,2.54,5.08,4,U-DEC,U-DEC,N/A,3,5:00
Clay Guida,Bobby Green,195,-235,6/20/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,177.8,180.34,155,Orthodox,170.18,177.8,155,38,33,7.62,2.54,-5,U-DEC,U-DEC,N/A,3,5:00
Cortney Casey,Gillian Robertson,100,-120,6/20/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Flyweight,FEMALE,3,Orthodox,165.1,160.02,125,Orthodox,170.18,170.18,125,33,25,-5.08,-10.16,-8,SUB,SUB,Rear naked choke,3,4:36
Curtis Blaydes,Alexander Volkov,-400,325,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Heavyweight,MALE,5,Orthodox,200.66,203.2,250,Orthodox,193.04,203.2,265,29,31,7.62,0,2,U-DEC,U-DEC,N/A,5,5:00
Frank Camacho,Justin Jaynes,-340,280,6/20/2020,Las Vegas,Nevada,USA,Blue,FALSE,Lightweight,MALE,3,Orthodox,170.18,170.18,155,Orthodox,177.8,185.42,170,31,30,-7.62,-15.24,1,KO/TKO,KO/TKO,Punches,1,0:41
Jim Miller,Roosevelt Roberts,200,-240,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Orthodox,187.96,185.42,155,Southpaw,172.72,180.34,155,36,26,15.24,5.08,-10,SUB,SUB,Armbar,1,2:25
Josh Emmett,Shane Burgos,120,-140,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,180.34,190.5,145,Orthodox,167.64,177.8,145,35,29,12.7,12.7,-6,U-DEC,U-DEC,N/A,3,5:00
Marc-Andre Barriault,Oskar Piechota,100,-120,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Southpaw,182.88,193.04,185,Orthodox,185.42,187.96,185,30,30,-2.54,5.08,0,KO/TKO,KO/TKO,Punches,2,4:50
Raquel Pennington,Marion Reneau,-160,140,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Bantamweight,FEMALE,3,Orthodox,167.64,172.72,135,Orthodox,170.18,170.18,135,31,43,-2.54,2.54,12,U-DEC,U-DEC,N/A,3,5:00
Roxanne Modafferi,Lauren Murphy,-125,105,6/20/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Flyweight,FEMALE,3,Orthodox,165.1,170.18,125,Orthodox,170.18,175.26,125,37,36,-5.08,-5.08,-1,U-DEC,U-DEC,N/A,3,5:00
Tecia Torres,Brianna Van Buren,175,-210,6/20/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Strawweight,FEMALE,3,Southpaw,152.4,157.48,115,Orthodox,154.94,152.4,115,30,26,-2.54,5.08,-4,U-DEC,U-DEC,N/A,3,5:00
Andre Fili,Charles Jourdain,-220,200,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Switch,175.26,175.26,145,Orthodox,180.34,187.96,145,29,24,-5.08,-12.7,-5,S-DEC,S-DEC,N/A,3,5:00
Anthony Ivy,Christian Aguilera,-185,170,6/13/2020,Las Vegas,Nevada,USA,Blue,FALSE,Welterweight,MALE,3,Switch,175.26,182.88,170,Orthodox,187.96,187.96,185,30,28,-12.7,-5.08,-2,KO/TKO,KO/TKO,Punches,1,0:59
Charles Rosa,Kevin Aguilar,170,-185,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Lightweight,MALE,3,Orthodox,170.18,185.42,155,Switch,175.26,175.26,145,33,31,-5.08,10.16,-2,S-DEC,S-DEC,N/A,3,5:00
Jessica Eye,Cynthia Calvillo,120,-130,6/13/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Flyweight,FEMALE,5,Orthodox,162.56,162.56,115,Orthodox,167.64,167.64,125,33,32,-5.08,-5.08,-1,U-DEC,U-DEC,N/A,5,5:00
Jordan Espinosa,Mark De La Rosa,-167,157,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Orthodox,167.64,165.1,135,Orthodox,167.64,175.26,125,30,25,0,-10.16,-5,U-DEC,U-DEC,N/A,3,5:00
Julia Avila,Gina Mazany,-575,485,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Bantamweight,FEMALE,3,Southpaw,167.64,172.72,135,Orthodox,170.18,172.72,135,32,31,-2.54,0,-1,KO/TKO,KO/TKO,Punches,1,0:22
Karl Roberson,Marvin Vettori,210,-230,6/13/2020,Las Vegas,Nevada,USA,Blue,FALSE,Middleweight,MALE,3,Southpaw,182.88,187.96,185,Southpaw,185.42,187.96,185,29,26,-2.54,0,-3,SUB,SUB,Rear naked choke,1,4:17
Mariya Agapova,Hannah Cifers,-335,305,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Women's Flyweight,FEMALE,3,Orthodox,154.94,157.48,115,Southpaw,167.64,172.72,125,23,27,-12.7,-15.24,4,SUB,SUB,Rear naked choke,1,2:42
Merab Dvalishvili,Gustavo Lopez,-800,635,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Orthodox,165.1,170.18,135,Orthodox,167.64,172.72,135,29,30,-2.54,-2.54,1,U-DEC,U-DEC,N/A,3,5:00
Tyson Nam,Zarrukh Adashev,-135,125,6/13/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Southpaw,165.1,165.1,125,Orthodox,170.18,172.72,125,36,27,-5.08,-7.62,-9,KO/TKO,KO/TKO,Punches,1,0:32
Alex Caceres,Chase Hooper,168,-195,6/6/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Southpaw,185.42,187.96,145,Southpaw,177.8,185.42,145,31,20,7.62,2.54,-11,U-DEC,U-DEC,N/A,3,5:00
Aljamain Sterling,Cory Sandhagen,-115,-105,6/6/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Switch,180.34,177.8,135,Orthodox,170.18,180.34,135,30,28,10.16,-2.54,-2,SUB,SUB,Rear naked choke,1,1:28
Alonzo Menifield,Devin Clark,-225,185,6/6/2020,Las Vegas,Nevada,USA,Blue,FALSE,Light Heavyweight,MALE,3,Orthodox,182.88,190.5,205,Orthodox,182.88,193.04,205,32,30,0,-2.54,-2,U-DEC,U-DEC,N/A,3,5:00
Amanda Nunes,Felicia Spencer,-600,450,6/6/2020,Las Vegas,Nevada,USA,Red,TRUE,Women's Featherweight,FEMALE,5,Orthodox,167.64,172.72,145,Orthodox,172.72,175.26,145,32,29,-5.08,-2.54,-3,U-DEC,U-DEC,N/A,5,5:00
Charles Byrd,Maki Pitolo,-175,155,6/6/2020,Las Vegas,Nevada,USA,Blue,FALSE,Middleweight,MALE,3,Orthodox,177.8,190.5,170,Orthodox,177.8,185.42,185,36,29,0,5.08,-7,KO/TKO,KO/TKO,Punches,2,1:10
Cody Stamann,Brian Kelleher,-250,210,6/6/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Switch,167.64,167.64,145,Orthodox,167.64,162.56,135,30,33,0,5.08,3,U-DEC,U-DEC,N/A,3,5:00
Eddie Wineland,Sean O'Malley,400,-500,6/6/2020,Las Vegas,Nevada,USA,Blue,FALSE,Bantamweight,MALE,3,Switch,180.34,182.88,135,Orthodox,170.18,175.26,135,35,25,10.16,7.62,-10,KO/TKO,KO/TKO,Punches,1,1:54
Evan Dunham,Herbert Burns,185,-225,6/6/2020,Las Vegas,Nevada,USA,Blue,FALSE,Catch Weight,MALE,3,Orthodox,175.26,185.42,145,Southpaw,177.8,177.8,155,38,32,-2.54,7.62,-6,SUB,SUB,Rear naked choke,1,1:20
Ian Heinisch,Gerald Meerschaert,-130,110,6/6/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Southpaw,185.42,195.58,185,Orthodox,180.34,182.88,185,31,32,5.08,12.7,1,KO/TKO,KO/TKO,Punches,1,1:14
Jussier Formiga,Alex Perez,115,-135,6/6/2020,Las Vegas,Nevada,USA,Blue,FALSE,Flyweight,MALE,3,Orthodox,167.64,165.1,125,Orthodox,165.1,170.18,125,35,28,2.54,-5.08,-7,KO/TKO,KO/TKO,Kick,1,4:06
Neil Magny,Anthony Rocco Martin,-135,115,6/6/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,182.88,185.42,170,Orthodox,190.5,203.2,170,32,30,-7.62,-17.78,-2,U-DEC,U-DEC,N/A,3,5:00
Raphael Assuncao,Cody Garbrandt,120,-140,6/6/2020,Las Vegas,Nevada,USA,Blue,FALSE,Bantamweight,MALE,3,Orthodox,172.72,165.1,135,Orthodox,165.1,167.64,135,37,28,7.62,-2.54,-9,KO/TKO,KO/TKO,Punches,2,4:59
Billy Quarantillo,Spike Carlyle,-130,110,5/30/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Switch,172.72,180.34,145,Orthodox,177.8,177.8,145,31,27,-5.08,2.54,-4,U-DEC,U-DEC,N/A,3,5:00
Blagoy Ivanov,Augusto Sakai,-105,-115,5/30/2020,Las Vegas,Nevada,USA,Blue,FALSE,Heavyweight,MALE,3,Orthodox,190.5,195.58,265,Southpaw,180.34,185.42,250,33,29,10.16,10.16,-4,S-DEC,S-DEC,N/A,3,5:00
Chris Gutierrez,Vince Morales,-110,-110,5/30/2020,Las Vegas,Nevada,USA,Red,FALSE,Featherweight,MALE,3,Orthodox,170.18,177.8,145,Orthodox,175.26,170.18,145,29,29,-5.08,7.62,0,KO/TKO,KO/TKO,Kick,2,4:27
Daniel Rodriguez,Gabe Green,-335,275,5/30/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Switch,177.8,185.42,170,Southpaw,185.42,187.96,170,33,27,-7.62,-2.54,-6,U-DEC,U-DEC,N/A,3,5:00
Jamahal Hill,Klidson Abreu,-117,-103,5/30/2020,Las Vegas,Nevada,USA,Red,FALSE,Light Heavyweight,MALE,3,Orthodox,182.88,187.96,205,Southpaw,193.04,200.66,205,29,27,-10.16,-12.7,-2,KO/TKO,KO/TKO,Knees,1,1:51
